"family","genus","species","reproduction","min_length","max_length","Nearctic","Neotropical","W.Palearctic","Ethiopian","E.Palearctic","Oriental","Australasian","lat_min","lon_min","lat_max","lon_max","number_loc","nbr_host_spp","Aphididae","Aleyrodidae","Coccoidea","Other.Hemiptera","Diptera","Lepidoptera","Coleoptera","Hymenoptera","Thysanoptera","Neuroptera","Megaloptera","Angiosperms","Pinaceae","Cupressaceae","relation_group","min_dev","max_dev"
"Aphelinidae","Aphelinus","abdominalis","both",3,3,0,1,1,1,1,1,1,-38,-83,60,143,52,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,19
"Aphelinidae","Aphelinus","albipodus","sex",1.025,1.025,1,1,0,1,1,1,0,-23,-119,47,138,17,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,23
"Aphelinidae","Aphelinus","asychis","asex",1.782,1.782,1,1,1,1,1,1,1,-38,-119,62,143,63,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,13
"Aphelinidae","Aphelinus","certus","sex",1.29,1.29,0,0,0,0,1,0,0,36,-95,62,138,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,13
"Aphelinidae","Aphelinus","chaonia","sex",0.5,7,1,1,1,0,1,1,0,-36,-119,60,114,28,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Aphelinidae","Aphelinus","glycinis","sex",0.77,0.93,0,0,0,0,1,0,0,42,123,42,123,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
"Aphelinidae","Aphelinus","gossypii","sex",0.8,1.3,1,1,1,1,1,1,1,-41,-175,48,175,18,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17
"Aphelinidae","Aphelinus","mali","sex",1.266,1.266,1,1,1,1,1,1,1,-41,-128,62,175,105,36,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15,15
"Aphelinidae","Aphelinus","paramali","sex",0.8,1.6,0,0,1,1,0,0,0,-11,18,32,54,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Aphelinidae","Aphelinus","rhamni","sex",0.75,0.94,0,0,0,0,1,0,0,40,116,40,116,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Aphelinidae","Aphelinus","semiflavus","asex",1.08,1.08,1,1,1,0,1,1,0,-38,-156,54,79,24,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,21
"Aphelinidae","Aphelinus","varipes","sex",1.082,1.082,1,1,1,1,1,1,1,-36,-119,60,149,45,23,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,10,18
"Aphelinidae","Aphytis","acrenulatus","sex",0.86,1.25,0,0,1,1,0,0,0,-20,13,42,58,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","africanus","sex",0.61,0.89,1,1,1,1,0,0,0,-38,-119,37,36,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,13
"Aphelinidae","Aphytis","amazonensis","sex",0.7,0.7,0,1,0,0,0,0,0,2,-51,2,-51,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","anneckei","sex",1.09,1.45,0,0,0,1,0,0,0,-31,23,0,38,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA
"Aphelinidae","Aphytis","antennalis","asex",1.4,1.4,0,0,0,0,0,1,0,22,114,22,114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"Aphelinidae","Aphytis","aonidiae","asex",0.6,0.63,1,1,1,0,1,0,0,-38,-119,52,138,25,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","capensis","sex",1.22,1.3,0,0,0,1,0,0,0,-31,23,-31,23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","cercinus","sex",0.93,1.22,0,0,0,1,0,0,0,-31,18,-23,23,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA
"Aphelinidae","Aphytis","chilensis","asex",0.5,1.08,1,1,1,1,1,1,1,-41,-119,51,175,20,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,17,21
"Aphelinidae","Aphytis","chrysomphali","asex",0.55,0.99,1,1,1,1,1,1,1,-38,-156,51,178,76,63,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,14,14
"Aphelinidae","Aphytis","coheni","sex",0.86,1.11,1,0,1,1,0,0,0,-31,-119,39,35,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,NA,NA
"Aphelinidae","Aphytis","columbi","sex",0.96,1.23,0,0,0,0,0,0,1,-31,-97,29,147,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,NA,NA
"Aphelinidae","Aphytis","comperei","asex",0.77,1.07,1,1,0,1,1,1,0,-31,-103,32,114,7,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","confusus","sex",0.94,1.07,0,0,0,1,0,1,0,-31,23,23,113,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","cylindratus","sex",0.76,1.36,1,1,0,0,1,0,0,-23,-119,37,138,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,17
"Aphelinidae","Aphytis","debachi","sex",0.77,0.98,1,0,0,0,1,1,0,22,-119,37,138,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,18,21
"Aphelinidae","Aphytis","faurei","sex",1.13,1.62,0,0,0,1,0,0,0,-31,23,-31,23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA
"Aphelinidae","Aphytis","griseus","sex",0.67,1.17,0,0,0,1,0,0,0,-31,23,-31,23,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","holoxanthus","sex",0.92,1.18,1,1,1,1,1,1,1,-38,-119,37,143,23,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,14
"Aphelinidae","Aphytis","immaculatus","sex",0.84,1.03,1,0,0,0,0,1,0,23,-119,37,121,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA
"Aphelinidae","Aphytis","japonicus","sex",0.73,0.89,0,0,0,0,1,0,0,36,128,36,138,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,16,20
"Aphelinidae","Aphytis","mytilaspidis","both",0.75,1.26,1,1,1,1,1,1,1,-41,-128,60,175,83,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,21
"Aphelinidae","Aphytis","lepidosaphes","sex",0.9,1.15,1,1,1,1,0,1,1,-38,-156,42,178,39,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,17
"Aphelinidae","Aphytis","lingnanensis","asex",0.73,1.05,1,1,1,1,1,1,1,-38,-119,55,178,52,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,15
"Aphelinidae","Aphytis","luteus","sex",0.87,1.5,0,0,1,0,0,0,0,35,9,51,33,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","mazalae","sex",0.79,0.82,0,0,0,0,1,1,0,23,69,36,138,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA
"Aphelinidae","Aphytis","melinus","sex",0.73,1.01,1,1,1,1,0,1,1,-38,-119,52,145,30,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,13
"Aphelinidae","Aphytis","merceti","sex",1.02,1.68,0,0,0,1,0,0,0,-31,23,-31,23,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA
"Aphelinidae","Aphytis","notialis","sex",0.81,1.22,0,1,0,0,0,0,0,-38,-72,-36,-64,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","paramaculicornis","sex",0.66,1.16,1,0,1,1,1,1,0,-31,-119,37,76,10,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,17,17
"Aphelinidae","Aphytis","philippinensis","sex",0.94,1.18,0,0,1,0,1,1,0,11,31,27,122,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","phoenicis","asex",0.55,0.88,0,0,1,0,0,0,0,24,31,31,45,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","pinnaspidis","sex",0.63,1,0,1,0,0,0,1,0,-23,-103,24,79,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","sensorius","sex",0.52,0.74,0,0,0,0,1,0,0,30,69,30,69,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA
"Aphelinidae","Aphytis","taylori","sex",0.75,1.15,0,0,0,1,0,0,0,-31,23,-31,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","testaceus","asex",0.99,1.23,0,0,1,0,0,0,0,40,20,47,48,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","tucumani","sex",0.95,1.14,0,1,0,0,0,0,0,-38,-64,-38,-64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","vandenboschi","asex",0.57,1.14,1,0,1,0,1,1,0,23,-119,41,138,7,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,16,20
"Aphelinidae","Encarsia","bimaculata","sex",NA,NA,1,1,1,1,0,1,1,-35,-111,34,149,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,15
"Aphelinidae","Encarsia","cibcensis","sex",0.52,0.68,0,0,0,0,0,1,0,-21,-160,32,167,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,NA
"Aphelinidae","Encarsia","citrina","asex",0.5,0.5,1,1,1,1,1,1,1,-41,-176,72,178,103,158,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA,NA
"Aphelinidae","Encarsia","formosa","asex",0.59,0.59,1,1,1,1,1,1,1,-41,-175,62,178,95,29,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,14,21
"Aphelinidae","Encarsia","guadaloupae","asex",0.6,0.75,1,1,1,1,0,1,1,-18,-156,28,178,23,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,23,23
"Aphelinidae","Encarsia","Haitensis","sex",0.538,0.538,0,1,0,1,0,1,0,6,-156,24,121,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA
"Aphelinidae","Encarsia","Hispida-brasiliensis","asex",0.47,0.47,1,1,1,1,0,0,0,-38,-149,52,23,31,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA
"Aphelinidae","Encarsia","Luteola-deserti","sex",0.49,0.49,1,1,1,0,1,0,0,-36,-119,42,35,17,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,11,12
"Aphelinidae","Encarsia","meritoria","both",0.6,0.6,1,1,1,1,0,0,0,-31,-119,46,35,15,21,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,11,11
"Aphelinidae","Encarsia","oakeyensis",NA,NA,NA,0,0,0,0,0,0,1,-21,143,-21,143,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Aphelinidae","Encarsia","protransvena","asex",0.7,0.7,1,1,1,1,1,1,1,-38,-156,42,178,21,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,NA,NA
"Aphelinidae","Encarsia","smithi","sex",0.8,0.8,1,1,0,1,1,1,0,-31,-156,37,158,27,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA,NA
"Aphelinidae","Encarsia","Sophia-transvena","sex",0.45,0.7,1,1,1,1,1,1,1,-38,-156,42,143,61,39,1,1,1,1,0,0,0,1,0,0,0,0,0,0,14,13,14
"Aphelinidae","Encarsia","strenua","asex",1.1,1.1,1,1,1,0,1,1,0,-1,-119,40,138,19,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,NA
"Aphelinidae","Eretmocerus","debachi","asex",0.789,0.789,1,0,1,0,0,0,0,31,-119,46,54,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14,15
"Aphelinidae","Eretmocerus","eremicus","sex",0.45,0.55,1,1,1,0,0,0,0,23,-119,51,54,12,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,17,17
"Aphelinidae","Eretmocerus","haldemani","sex",0.598,0.598,1,1,1,0,0,1,0,-9,-119,48,81,11,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,NA,NA
"Aphelinidae","Eretmocerus","hayati","sex",0.8,1,1,0,0,0,0,1,1,21,-119,37,79,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17
"Aphelinidae","Eretmocerus","mundus","both",0.6,0.7,1,0,1,1,1,1,1,-21,-119,55,167,50,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18
"Aphelinidae","Eretmocerus","warrae","asex",NA,NA,0,0,0,0,0,0,1,-31,-97,29,147,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,NA
"Torymidae","Megastigmus","atedius","sex",1.9,4,1,0,1,0,1,0,0,34,-149,64,105,18,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Megastigmus","borriesi","asex",2.4,3.7,0,0,1,0,1,0,0,36,10,62,138,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Megastigmus","brevicaudis","asex",2.4,2.4,1,0,1,0,1,0,0,41,-95,64,104,16,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA,NA
"Torymidae","Megastigmus","cryptomeriae","sex",1.8,3,0,0,0,0,1,1,0,24,114,36,138,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,NA,NA
"Torymidae","Megastigmus","hoffmeyeri","sex",1.9,3,1,0,1,0,0,0,0,34,-118,62,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA
"Torymidae","Megastigmus","hypogeus","sex",3.9,5.1,0,0,0,1,0,0,0,0,38,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA
"Torymidae","Megastigmus","likiangensis","sex",2.3,2.4,0,0,0,0,0,1,0,25,103,25,103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA
"Torymidae","Megastigmus","nigrovariegatus","sex",3.2,3.2,1,0,1,0,0,0,0,34,-149,64,2,26,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,NA,NA
"Torymidae","Megastigmus","pictus","asex",1.9,3.3,0,0,1,0,1,0,0,38,-3,62,127,24,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA
"Torymidae","Megastigmus","pinsapinis","asex",4,5.6,0,0,1,0,0,0,0,28,-7,46,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Megastigmus","pistaciae","asex",3.5,3.5,1,1,1,0,1,0,1,-25,-119,62,134,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA
"Torymidae","Megastigmus","rosae","asex",2.1,3.2,0,0,1,0,1,0,0,32,-83,56,71,16,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,NA,NA
"Torymidae","Megastigmus","schimitscheki","sex",4.8,5.3,0,0,1,0,0,0,0,34,2,46,39,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Megastigmus","spermotrophus","sex",2.8,4.3,1,0,1,0,0,0,0,45,-128,62,26,12,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,NA,NA
"Torymidae","Megastigmus","strobilobius","sex",2.3,3.7,0,0,1,0,1,0,0,39,-3,63,104,29,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,NA,NA
"Torymidae","Megastigmus","suspectus","asex",3.5,5.7,0,0,1,0,1,0,0,28,-83,62,71,24,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,14,14
"Torymidae","Megastigmus","transvaalensis","sex",2.4,2.7,0,1,1,1,0,0,0,-38,-156,46,56,15,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA
"Torymidae","Megastigmus","tsugae","sex",2.5,2.5,1,0,0,0,0,0,0,39,-128,54,-77,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Torymus","arundinis","sex",1.59,2.12,0,0,1,0,1,0,0,32,-83,60,143,16,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,25,NA,NA
"Torymidae","Torymus","bedeguaris","asex",NA,NA,1,0,1,0,1,0,0,32,-128,60,75,52,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA
"Torymidae","Torymus","impar","sex",3.5,3.9,0,0,1,0,1,0,0,32,-83,62,71,16,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA
"Trichogrammatidae","Megaphragma","amalphitanum","sex",0.225,0.275,0,0,1,0,0,0,0,39,-8,46,13,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA
"Trichogrammatidae","Megaphragma","mymaripenne","asex",0.252,0.252,1,1,1,0,0,0,0,-38,-156,38,14,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA
"Trichogrammatidae","Trichogramma","alpha","sex",NA,NA,1,1,0,0,0,0,0,34,-119,54,-63,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","aurosum","sex",NA,NA,1,0,1,0,1,0,0,34,-149,64,113,18,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","australicum","sex",NA,NA,0,1,0,0,1,1,1,-28,-156,36,143,37,62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,7,8
"Trichogrammatidae","Trichogramma","bourarachae","sex",NA,NA,0,0,1,0,0,0,0,32,-8,39,10,3,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogramma","cacoeciae","asex",NA,NA,1,1,1,0,1,1,0,-38,-119,59,127,40,58,0,0,0,1,1,1,0,1,0,0,0,0,0,0,24,NA,NA
"Trichogrammatidae","Trichogramma","closterae","sex",NA,NA,0,0,0,0,1,1,0,30,114,42,123,6,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","cordubensis","asex",NA,NA,0,0,1,0,0,0,0,32,-26,40,54,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,17
"Trichogrammatidae","Trichogramma","nerudai","sex",NA,NA,0,1,0,0,0,0,0,-38,-72,-36,-64,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9,11
"Trichogrammatidae","Trichogramma","nubilale","asex",NA,NA,1,0,0,0,0,1,0,23,-100,47,113,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogramma","oleae","asex",NA,NA,0,1,1,0,0,0,0,-38,-64,46,22,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","ostriniae","sex",0.5,0.65,1,0,0,1,1,1,0,-31,-84,46,138,18,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","pratti","sex",NA,NA,1,0,0,0,0,0,0,37,-119,37,-119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","sathon","sex",NA,NA,1,1,0,0,0,0,0,24,-119,37,-100,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","semblidis","asex",0.5,0.5,1,0,1,0,1,1,0,15,-149,64,83,32,59,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,NA,NA
"Trichogrammatidae","Trichogramma","sibericum","asex",NA,NA,1,0,0,0,1,0,0,37,-128,54,113,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","tshumakovae","sex",NA,NA,0,0,1,0,1,0,0,32,54,41,75,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,NA,NA
"Trichogrammatidae","Trichogrammatoidea","armigera","sex",0.45,0.5,0,1,0,1,0,1,0,-31,-122,39,122,21,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogrammatoidea","bactrae","sex",0.42,0.5,1,1,1,0,0,1,1,-41,-119,37,175,22,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,NA,NA
