fam,genera,auto_percentage,literature,result,ref
Aphelinidae,Aphelinus,0,-,par,
Aphelinidae,Coccophagus,0,-,par,
Aphelinidae,Encarsia,0,-,par,
Aphelinidae,Eretmocerus,0,-,par,
Aphelinidae,Paraphytis,0,-,par,
Aphelinidae,Pteroptrix,0,-,par,
Chalcididae,Brachymeria,0,-,par,
Encyrtidae,Adelencyrtus,0,-,par,
Encyrtidae,Anagyrus,0,-,par,
Encyrtidae,Anicetus,0,-,par,
Encyrtidae,Arrhenophagus,0,-,par,
Encyrtidae,Blepyrus,0,-,par,
Encyrtidae,Clausenia,0,-,par,
Encyrtidae,Coccidoxenoides,0,-,par,
Encyrtidae,Comperiella,0,-,par,
Encyrtidae,Copidosoma,0,-,par,
Encyrtidae,Diaphorencyrtus,0,-,par,
Encyrtidae,Diversinervus,0,-,par,
Encyrtidae,Encyrtus,0,-,par,
Encyrtidae,Habrolepis,0,-,par,
Encyrtidae,Hambletonia,0,-,par,
Encyrtidae,Microterys,0,-,par,
Encyrtidae,Ooencyrtus,0,-,par,
Encyrtidae,Plagiomerus,0,-,par,
Encyrtidae,Prochiloneurus,0,-,par,
Encyrtidae,Protyndarichoides,0,-,par,
Encyrtidae,Pseudleptomastix,0,-,par,
Encyrtidae,Trechnites,0,-,par,
Encyrtidae,Zaplatycerus,0,-,par,
Eulophidae,Baryscapus,0,-,par,
Eulophidae,Ceranisus,0,-,par,
Eulophidae,Holarcticesa,0,-,par,
Eulophidae,Necremnus,0,-,par,
Eulophidae,Neochrysocharis,0,-,par,
Eulophidae,Omphale,0,-,par,
Eulophidae,Oomyzus,0,-,par,
Eulophidae,Pnigalio,0,-,par,
Eulophidae,Tamarixia,0,-,par,
Eupelmidae,Anastatus,0,-,par,
Eupelmidae,Eupelmus,0,-,par,
Leucospidae,Leucospis,0,-,par,
Mymaridae,Anaphes,0,-,par,
Mymaridae,Caenomymar,0,-,par,
Mymaridae,Polynema,0,-,par,
Mymaridae,Stephanocampta,0,-,par,
Pteromalidae,Muscidifurax,0,?,par,Note: probably no phytophagous species
Pteromalidae,Nasonia,0,parasite of flies,par,"The genetic basis of interspecies host preference differences in the model parasitoid Nasonia. Desjardins et al, 2010"
Pteromalidae,Pteromalus,0,-,par,
Pteromalidae,Spalangia,0,-,par,
Torymidae,Ditropinotus,0,?,par,
Trichogrammatidae,Megaphragma,0,-,par,
Trichogrammatidae,Trichogrammatoidea,0,-,par,
Eulophidae,Tetrastichus,0.4,?,par,
Eulophidae,Pediobius,0.5,negligible,par,"Taxonomic Studies on the Pediobius eubius Complex (Hymenoptera: Chalcidoidea: Eulophidae) in Britain, Parasitoids of Eurytomidae in Gramineae. Dawah, 2007"
Eulophidae,Aprostocetus,0.6,2/670 species,par,"Description of a New Gall-inducing Species of Aprostocetus (Hymenoptera: Eulophidae) on Melilotus indicus from Southern Italy. Viggiani et Monaco, 2014"
Pteromalidae,Mesopolobus,0.8,?,par,
Aphelinidae,Aphytis,0.9,?,par,
Mymaridae,Anagrus,1.1,,par,
Torymidae,Torymus,4.1,a few species,par,Species Diversity and Host Range of Torymus Species (Hymenoptera: Torymidae) in Japan. Matsuo
Eulophidae,Galeopsomyia,5,,par,
Eurytomidae,Eurytoma,9.3,"Members of this genus can be entomophagous, phytophagous or both.",par,http://www.plantwise.org/KnowledgeBank/Datasheet.aspx?dsid=23444
Torymidae,Megastigmus,50,Between 1 and 2 thirds,phyt,"Megastigmus seed chalcids (Hymenoptera, Torymidae) radiated much more on Angiosperm than previously considered. I â€“ Description of 8 new species from Kenya, with a key to the females of Eastern and Southern Africa Roques et al, 2016"
Eurytomidae,Tetramesa,50.5,entiirely phytophagous,phyt,"A new species of Tetramesa Walker (Insecta: Hymenoptera: Eurytomidae) Associated with Bamboo in West Malaysis. Narendran et Kovac, 1995"
Eurytomidae,Bephratelloides,85.7,,phyt,
Pteromalidae,Trichilogaster,90,?,phyt,
Eulophidae,Leptocybe,100,monotypic genus. Phytophagous species,phyt,wikipedia
Trichogrammatidae,Trichogramma,0.8,,par,
