Aphelinus abdominalis,-38;-83,60;143,32;32,39;21,51
Aphelinus albipodus,-23;-119,47;138,28;-2,35;19,17
Aphelinus asychis,-38;-119,62;143,30;14,36;19,62
Aphelinus certus,36;-95,62;138,45;78,45;105,5
Aphelinus chaonia,-36;-119,60;114,39;8,45;15,28
Aphelinus glycinis,42;123,42;123,42;123,42;123,1
Aphelinus gossypii,-41;-175,48;175,11;22,22;45,18
Aphelinus mali,-41;-128,62;175,27;-12,37;-7,103
Aphelinus paramali,-11;18,32;54,20;34,29;33,4
Aphelinus rhamni,40;116,40;116,40;116,40;116,1
Aphelinus semiflavus,-38;-156,54;79,33;-57,39;-78,24
Aphelinus varipes,-36;-119,60;149,34;-11,39;3,44
Aphytis acrenulatus,-20;13,42;58,11;35,11;35,2
Aphytis acutaspidis,-23;-43,-23;-43,-23;-43,-23;-43,1
Aphytis africanus,-38;-119,37;36,-5;0,-19;30,8
Aphytis amazonensis,2;-51,2;-51,2;-51,2;-51,1
Aphytis anneckei,-31;23,0;38,-15;30,-15;30,2
Aphytis anomalus,-23;-45,-19;-43,-21;-44,-21;-44,2
Aphytis antennalis,22;114,22;114,22;114,22;114,1
Aphytis aonidiae,-38;-119,52;138,31;-1,39;20,25
Aphytis capensis,-31;23,-31;23,-31;23,-31;23,1
Aphytis cercinus,-31;18,-23;23,-27;21,-27;21,2
Aphytis chilensis,-41;-119,51;175,17;1,34;10,20
Aphytis chrysomphali,-38;-156,51;178,16;17,24;22,76
Aphytis coheni,-31;-119,39;35,23;4,33;27,6
Aphytis columbi,-31;-97,29;147,-8;64,-21;143,3
Aphytis comperei,-31;-103,32;114,17;-16,23;-77,7
Aphytis confusus,-31;23,23;113,-4;68,-4;68,2
Aphytis costalimai,-38;-64,-19;-43,-25;-51,-23;-47,5
Aphytis cylindratus,-23;-119,37;138,3;-35,-9;-45,7
Aphytis debachi,22;-119,37;138,29;73,24;114,5
Aphytis desantisi,-38;-64,-38;-64,-38;-64,-38;-64,1
Aphytis equatorialis,-31;-6,8;23,-12;9,-12;9,2
Aphytis faurei,-31;23,-31;23,-31;23,-31;23,1
Aphytis fioriniae,26;93,26;93,26;93,26;93,1
Aphytis fisheri,-31;-119,37;138,19;63,23;87,8
Aphytis griseus,-31;23,-31;23,-31;23,-31;23,1
Aphytis haywardi,-38;-64,-33;-56,-35;-60,-35;-60,2
Aphytis holoxanthus,-38;-119,37;143,13;-3,22;-52,23
Aphytis hyalinipennis,-21;166,-21;166,-21;166,-21;166,1
Aphytis immaculatus,23;-119,37;121,28;38,24;113,3
Aphytis japonicus,36;128,36;138,36;133,36;133,2
Aphytis lepidosaphes,-38;-156,42;178,15;6,22;13,39
Aphytis libanicus,27;13,42;54,34;34,33;35,6
Aphytis lingnanensis,-38;-119,40;178,11;26,18;35,51
Aphytis luteus,35;9,51;33,43;18,42;16,6
Aphytis margaretae,-23;-103,24;-43,0;-73,0;-73,2
Aphytis mazalae,23;69,36;138,28;110,27;117,4
Aphytis melinus,-38;-119,52;145,13;22,24;22,30
Aphytis merceti,-31;23,-31;23,-31;23,-31;23,1
Aphytis moldavicus,32;-83,50;71,42;8,43;22,4
Aphytis mytilaspidis,-41;-128,60;175,35;-12,40;5,83
Aphytis notialis,-38;-72,-36;-64,-37;-68,-37;-68,2
Aphytis obscurus,-34;-58,-34;-58,-34;-58,-34;-58,1
Aphytis opuntiae,39;-4,42;22,40;10,40;13,3
Aphytis paramaculicornis,-31;-119,37;76,25;17,32;39,10
Aphytis philippinensis,11;31,27;122,19;85,19;86,6
Aphytis phoenicis,24;31,31;45,27;37,27;35,3
Aphytis pinnaspidis,-23;-103,24;79,5;-19,12;-39,6
Aphytis sensorius,30;69,30;69,30;69,30;69,1
Aphytis taylori,-31;23,-31;23,-31;23,-31;23,1
Aphytis testaceus,40;20,47;48,45;35,45;36,4
Aphytis tucumani,-38;-64,-38;-64,-38;-64,-38;-64,1
Aphytis vandenboschi,23;-119,41;138,34;43,36;113,7
Aphytis vastus,-23;18,-23;18,-23;18,-23;18,1
Aphytis wallumbillae,-21;143,-21;143,-21;143,-21;143,1
Aphytis yanonensis,24;2,46;138,31;98,28;107,7
Aphytis yasumatsui,36;138,36;138,36;138,36;138,1
Encarsia bimaculata,-35;-111,34;149,8;44,15;101,19
Encarsia cibcensis,-21;-160,32;167,12;25,21;69,7
Encarsia citrina,-41;-176,72;178,22;0,31;4,103
Encarsia formosa,-41;-175,62;178,29;-2,39;8,95
Encarsia gennaroi,-25;-119,46;134,29;-11,32;-1,10
Encarsia guadaloupae,-18;-156,28;178,10;38,9;73,23
Encarsia haitensis,6;-156,24;121,18;-50,20;-72,7
Encarsia hispida,-38;-149,52;23,11;-58,16;-67,31
Encarsia luteola,-36;-119,42;35,20;-67,28;-73,17
Encarsia meritoria,-31;-119,46;35,23;-51,31;-65,15
Encarsia meritoria,-21;143,-21;143,-21;143,-21;143,1
Encarsia protransvena,-38;-156,42;178,15;-20,24;-67,21
Encarsia smithi,-31;-156,37;158,19;52,23;81,27
Encarsia sophia,-38;-156,42;143,16;30,20;38,61
Encarsia strenua,-1;-119,40;138,24;34,24;81,19
Encarsia suzannae,32;-100,32;-100,32;-100,32;-100,1
Encarsia tabacivora,-19;-119,37;-45,23;-98,32;-111,5
Eretmocerus debachi,31;-119,46;54,38;3,38;11,8
Eretmocerus eremicus,23;-119,51;54,34;-36,33;-12,12
Eretmocerus haldemani,-9;-119,48;81,32;-33,37;-75,11
Eretmocerus hayati,21;-119,37;79,31;-36,32;-100,5
Eretmocerus mundus,-21;-119,55;167,28;32,31;34,49
Eretmocerus warrae,-31;-97,29;147,-16;90,-28;136,5
Megastigmus atedius,34;-149,64;105,48;-53,48;-84,18
Megastigmus borriesi,36;10,62;138,51;81,56;105,5
Megastigmus brevicaudis,41;-95,64;104,52;6,52;13,16
Megastigmus cryptomeriae,24;114,36;138,29;121,29;119,6
Megastigmus hoffmeyeri,34;-118,62;26,47;-56,42;-74,7
Megastigmus hypogeus,0;38,0;38,0;38,0;38,1
Megastigmus likiangensis,25;103,25;103,25;103,25;103,1
Megastigmus nigrovariegatus,34;-149,64;2,43;-90,42;-89,26
Megastigmus pictus,38;-3,62;127,49;46,49;22,24
Megastigmus pinsapinis,28;-7,46;13,38;1,40;2,5
Megastigmus pistaciae,-25;-119,62;134,36;24,39;31,29
Megastigmus rosae,32;-83,56;71,44;29,47;36,16
Megastigmus schimitscheki,34;2,46;39,37;28,35;34,6
Megastigmus spermotrophus,45;-128,62;26,52;-9,51;13,12
Megastigmus strobilobius,39;-3,63;104,52;29,51;22,29
Megastigmus suspectus,28;-83,62;71,47;15,48;17,24
Megastigmus transvaalensis,-38;-156,46;56,11;-28,24;-8,15
Megastigmus tsugae,39;-128,54;-77,45;-108,44;-121,3
Torymus arundinis,32;-83,60;143,48;17,49;17,16
Torymus bedeguaris,32;-128,60;75,45;-12,44;14,52
Torymus impar,32;-83,62;71,49;19,51;19,16
Megaphragma amalphitanum,39;-8,46;13,42;2,42;2,3
Megaphragma mymaripenne,-38;-156,38;14,11;-78,19;-72,8
Trichogramma alpha,34;-119,54;-63,42;-91,39;-92,9
Trichogramma atopovirilla,-25;-103,32;-37,5;-72,10;-76,12
Trichogramma aurosum,34;-149,64;113,45;-73,44;-95,18
Trichogramma australicum,-28;-156,36;143,9;35,13;73,37
Trichogramma bezdencovii,-36;-72,54;45,33;16,46;30,6
Trichogramma bourarachae,32;-8,39;10,35;-2,34;-7,3
Trichogramma cacoeciae,-38;-119,59;127,41;15,46;22,40
Trichogramma closterae,30;114,42;123,35;118,34;117,6
Trichogramma cordubensis,32;-26,40;54,37;0,38;-8,5
Trichogramma dianae,28;-92,39;-77,35;-82,36;-81,6
Trichogramma flavum,28;-82,38;114,33;16,33;16,2
Trichogramma lasallei,-33;-103,28;-47,4;-69,14;-65,12
Trichogramma lopezandinensis,5;-74,5;-74,5;-74,5;-74,1
Trichogramma nerudai,-38;-72,-36;-64,-37;-68,-37;-68,2
Trichogramma nubilale,23;-100,47;113,36;-67,38;-82,11
Trichogramma oleae,-38;-64,46;22,22;-7,40;7,4
Trichogramma ostriniae,-31;-84,46;138,33;82,37;117,18
Trichogramma pratti,37;-119,37;-119,37;-119,37;-119,1
Trichogramma sathon,24;-119,37;-100,32;-108,34;-106,5
Trichogramma semblidis,15;-149,64;83,47;-16,47;8,32
Trichogramma sibericum,37;-128,54;113,45;-53,45;-98,4
Trichogramma tshumakovae,32;54,41;75,37;64,37;64,2
Trichogrammatoidea armigera,-31;-122,39;122,11;-11,13;-61,21
Trichogrammatoidea bactrae,-41;-119,37;175,5;72,13;101,22
